orig.ident	CompositionCluster_CC	n_spots	frac_spots
IU_PDA_HM10	CC1	1289	0.548977853492334
IU_PDA_HM10	CC10	2	0.000851788756388416
IU_PDA_HM10	CC11	1	0.000425894378194208
IU_PDA_HM10	CC12	88	0.0374787052810903
IU_PDA_HM10	CC13	2	0.000851788756388416
IU_PDA_HM10	CC14	2	0.000851788756388416
IU_PDA_HM10	CC15	22	0.00936967632027257
IU_PDA_HM10	CC16	249	0.106047700170358
IU_PDA_HM10	CC17	140	0.0596252129471891
IU_PDA_HM10	CC18	3	0.00127768313458262
IU_PDA_HM10	CC3	413	0.175894378194208
IU_PDA_HM10	CC4	72	0.030664395229983
IU_PDA_HM10	CC5	1	0.000425894378194208
IU_PDA_HM10	CC6	43	0.0183134582623509
IU_PDA_HM10	CC8	19	0.00809199318568995
IU_PDA_HM10	CC9	2	0.000851788756388416
IU_PDA_HM11	CC1	179	0.0455354871533961
IU_PDA_HM11	CC10	80	0.020351055711015
IU_PDA_HM11	CC11	130	0.0330704655303994
IU_PDA_HM11	CC12	393	0.0999745611803612
IU_PDA_HM11	CC13	6	0.00152632917832613
IU_PDA_HM11	CC14	337	0.0857288221826507
IU_PDA_HM11	CC15	100	0.0254388196387688
IU_PDA_HM11	CC16	437	0.111167641821419
IU_PDA_HM11	CC17	221	0.056219791401679
IU_PDA_HM11	CC3	423	0.107606207071992
IU_PDA_HM11	CC4	587	0.149325871279573
IU_PDA_HM11	CC5	4	0.00101755278555075
IU_PDA_HM11	CC6	255	0.0648689900788603
IU_PDA_HM11	CC8	646	0.164334774866446
IU_PDA_HM11	CC9	133	0.0338336301195625
IU_PDA_HM12	CC1	13	0.00439040864572779
IU_PDA_HM12	CC10	5	0.00168861870989531
IU_PDA_HM12	CC12	1080	0.364741641337386
IU_PDA_HM12	CC14	425	0.143532590341101
IU_PDA_HM12	CC15	971	0.327929753461668
IU_PDA_HM12	CC16	314	0.106045254981425
IU_PDA_HM12	CC17	46	0.0155352921310368
IU_PDA_HM12	CC3	22	0.00742992232353934
IU_PDA_HM12	CC4	2	0.000675447483958122
IU_PDA_HM12	CC6	35	0.0118203309692671
IU_PDA_HM12	CC8	45	0.0151975683890578
IU_PDA_HM12	CC9	3	0.00101317122593718
IU_PDA_HM13	CC1	162	0.074243813015582
IU_PDA_HM13	CC10	487	0.223189734188818
IU_PDA_HM13	CC11	1	0.000458295142071494
IU_PDA_HM13	CC13	2	0.000916590284142988
IU_PDA_HM13	CC3	539	0.247021081576535
IU_PDA_HM13	CC4	773	0.354262144821265
IU_PDA_HM13	CC5	67	0.0307057745187901
IU_PDA_HM13	CC6	3	0.00137488542621448
IU_PDA_HM13	CC8	9	0.00412465627864345
IU_PDA_HM13	CC9	139	0.0637030247479377
IU_PDA_HM2	CC11	2	0.000807102502017756
IU_PDA_HM2	CC12	757	0.305488297013721
IU_PDA_HM2	CC14	218	0.0879741727199354
IU_PDA_HM2	CC15	754	0.304277643260694
IU_PDA_HM2	CC16	587	0.236884584342211
IU_PDA_HM2	CC18	1	0.000403551251008878
IU_PDA_HM2	CC4	17	0.00686037126715093
IU_PDA_HM2	CC6	54	0.0217917675544794
IU_PDA_HM2	CC8	87	0.0351089588377724
IU_PDA_HM2	CC9	1	0.000403551251008878
IU_PDA_HM2_2	CC1	525	0.547445255474453
IU_PDA_HM2_2	CC12	62	0.0646506777893639
IU_PDA_HM2_2	CC15	24	0.0250260688216893
IU_PDA_HM2_2	CC16	12	0.0125130344108446
IU_PDA_HM2_2	CC17	233	0.2429614181439
IU_PDA_HM2_2	CC3	103	0.10740354535975
IU_PDA_HM3	CC1	652	0.554421768707483
IU_PDA_HM3	CC11	2	0.00170068027210884
IU_PDA_HM3	CC12	2	0.00170068027210884
IU_PDA_HM3	CC13	1	0.000850340136054422
IU_PDA_HM3	CC14	1	0.000850340136054422
IU_PDA_HM3	CC15	3	0.00255102040816327
IU_PDA_HM3	CC17	50	0.0425170068027211
IU_PDA_HM3	CC3	383	0.325680272108844
IU_PDA_HM3	CC4	68	0.0578231292517007
IU_PDA_HM3	CC5	4	0.00340136054421769
IU_PDA_HM3	CC6	1	0.000850340136054422
IU_PDA_HM3	CC7	1	0.000850340136054422
IU_PDA_HM3	CC9	8	0.00680272108843537
IU_PDA_HM4	CC1	102	0.0554046713742531
IU_PDA_HM4	CC10	2	0.00108636610537751
IU_PDA_HM4	CC12	430	0.233568712656165
IU_PDA_HM4	CC13	1	0.000543183052688756
IU_PDA_HM4	CC14	1	0.000543183052688756
IU_PDA_HM4	CC15	732	0.397609994568169
IU_PDA_HM4	CC16	208	0.112982074959261
IU_PDA_HM4	CC17	210	0.114068441064639
IU_PDA_HM4	CC18	1	0.000543183052688756
IU_PDA_HM4	CC3	145	0.0787615426398696
IU_PDA_HM4	CC6	8	0.00434546442151005
IU_PDA_HM4	CC8	1	0.000543183052688756
IU_PDA_HM5	CC1	829	0.272876892692561
IU_PDA_HM5	CC12	418	0.137590520078999
IU_PDA_HM5	CC14	3	0.000987491770901909
IU_PDA_HM5	CC15	1316	0.433179723502304
IU_PDA_HM5	CC16	18	0.00592495062541146
IU_PDA_HM5	CC17	272	0.0895325872284398
IU_PDA_HM5	CC3	181	0.0595786701777485
IU_PDA_HM5	CC8	1	0.00032916392363397
IU_PDA_HM6	CC1	100	0.0600240096038415
IU_PDA_HM6	CC10	5	0.00300120048019208
IU_PDA_HM6	CC11	8	0.00480192076830732
IU_PDA_HM6	CC12	214	0.128451380552221
IU_PDA_HM6	CC13	13	0.0078031212484994
IU_PDA_HM6	CC14	122	0.0732292917166867
IU_PDA_HM6	CC15	58	0.0348139255702281
IU_PDA_HM6	CC16	267	0.160264105642257
IU_PDA_HM6	CC17	319	0.191476590636254
IU_PDA_HM6	CC18	35	0.0210084033613445
IU_PDA_HM6	CC3	311	0.186674669867947
