image	component_id	n_spots_component
IU_PDA_T1	1	2946
IU_PDA_T1	2	3
IU_PDA_T1	3	5
IU_PDA_T1	8	4
IU_PDA_T10	1	8
IU_PDA_T10	2	45
IU_PDA_T10	3	315
IU_PDA_T10	4	6
IU_PDA_T10	5	34
IU_PDA_T10	6	75
IU_PDA_T10	7	15
IU_PDA_T10	8	5
IU_PDA_T10	10	5
IU_PDA_T10	15	6
IU_PDA_T10	16	5
IU_PDA_T10	23	4
IU_PDA_T10	25	5
IU_PDA_T10	44	4
IU_PDA_T11	1	1056
IU_PDA_T11	2	862
IU_PDA_T11	5	6
IU_PDA_T11	6	4
IU_PDA_T11	14	3
IU_PDA_T11	15	3
IU_PDA_T12	1	2748
IU_PDA_T12	2	4
IU_PDA_T12	3	12
IU_PDA_T12	4	4
IU_PDA_T12	5	4
IU_PDA_T12	7	8
IU_PDA_T2	2	16
IU_PDA_T2	3	18
IU_PDA_T2	4	5
IU_PDA_T2	5	184
IU_PDA_T2	7	13
IU_PDA_T2	8	185
IU_PDA_T2	9	10
IU_PDA_T2	11	5
IU_PDA_T2	13	49
IU_PDA_T2	15	4
IU_PDA_T2	16	10
IU_PDA_T2	18	7
IU_PDA_T2	19	5
IU_PDA_T2	20	4
IU_PDA_T2	21	3
IU_PDA_T2	22	5
IU_PDA_T2	23	3
IU_PDA_T2	26	8
IU_PDA_T2	27	3
IU_PDA_T2	30	9
IU_PDA_T2	32	3
IU_PDA_T2	37	3
IU_PDA_T2	41	3
IU_PDA_T2	44	5
IU_PDA_T2	45	8
IU_PDA_T2	46	5
IU_PDA_T2	48	12
IU_PDA_T2	49	7
IU_PDA_T2	50	3
IU_PDA_T2	52	3
IU_PDA_T2	53	3
IU_PDA_T2	55	3
IU_PDA_T2	56	6
IU_PDA_T2	57	11
IU_PDA_T2	60	5
IU_PDA_T2	65	4
IU_PDA_T2	67	5
IU_PDA_T2	77	5
IU_PDA_T2	79	11
IU_PDA_T2	82	3
IU_PDA_T2	92	3
IU_PDA_T2	98	4
IU_PDA_T2	99	3
IU_PDA_T2	108	3
IU_PDA_T2	118	3
IU_PDA_T2	124	4
IU_PDA_T2	151	3
IU_PDA_T3	1	1438
IU_PDA_T3	2	35
IU_PDA_T3	3	381
IU_PDA_T3	9	6
IU_PDA_T3	11	4
IU_PDA_T3	12	5
IU_PDA_T3	22	3
IU_PDA_T3	28	4
IU_PDA_T4	1	96
IU_PDA_T4	3	35
IU_PDA_T4	5	21
IU_PDA_T4	6	138
IU_PDA_T4	8	27
IU_PDA_T4	9	30
IU_PDA_T4	10	81
IU_PDA_T4	13	3
IU_PDA_T4	14	14
IU_PDA_T4	15	12
IU_PDA_T4	16	36
IU_PDA_T4	17	3
IU_PDA_T4	19	11
IU_PDA_T4	22	18
IU_PDA_T4	23	50
IU_PDA_T4	25	18
IU_PDA_T4	26	3
IU_PDA_T4	30	3
IU_PDA_T4	32	7
IU_PDA_T4	33	4
IU_PDA_T4	40	7
IU_PDA_T4	42	6
IU_PDA_T4	47	6
IU_PDA_T4	48	4
IU_PDA_T6	1	29
IU_PDA_T6	2	716
IU_PDA_T6	3	13
IU_PDA_T6	4	7
IU_PDA_T6	7	16
IU_PDA_T6	18	6
IU_PDA_T8	1	43
IU_PDA_T8	2	33
IU_PDA_T8	4	3
IU_PDA_T8	9	9
IU_PDA_T8	11	15
IU_PDA_T8	13	11
IU_PDA_T8	14	4
IU_PDA_T8	18	4
IU_PDA_T8	20	7
IU_PDA_T8	21	3
IU_PDA_T8	22	8
IU_PDA_T8	24	12
IU_PDA_T8	26	4
IU_PDA_T8	33	3
IU_PDA_T8	36	4
IU_PDA_T9	1	2916
IU_PDA_T9	2	40
IU_PDA_T9	6	12
IU_PDA_T9	7	26
IU_PDA_T9	9	7
