pathway	gene	in_input_assay
Cancer_associated_fibroblasts	ACTA2	TRUE
Cancer_associated_fibroblasts	CD248	TRUE
Cancer_associated_fibroblasts	COL11A1	TRUE
Cancer_associated_fibroblasts	COL1A1	TRUE
Cancer_associated_fibroblasts	COL1A2	TRUE
Cancer_associated_fibroblasts	COL5A1	TRUE
Cancer_associated_fibroblasts	COL6A1	TRUE
Cancer_associated_fibroblasts	COL6A2	TRUE
Cancer_associated_fibroblasts	COL6A3	TRUE
Cancer_associated_fibroblasts	CXCL12	TRUE
Cancer_associated_fibroblasts	FAP	TRUE
Cancer_associated_fibroblasts	FBLN1	TRUE
Cancer_associated_fibroblasts	FGF2	TRUE
Cancer_associated_fibroblasts	FN1	TRUE
Cancer_associated_fibroblasts	LRP1	TRUE
Cancer_associated_fibroblasts	LUM	TRUE
Cancer_associated_fibroblasts	MFAP5	TRUE
Cancer_associated_fibroblasts	MMP2	TRUE
Cancer_associated_fibroblasts	MMP3	TRUE
Cancer_associated_fibroblasts	PDGFRA	TRUE
Cancer_associated_fibroblasts	PDGFRB	TRUE
Matrix	COL11A1	TRUE
Matrix	COL1A1	TRUE
Matrix	COL1A2	TRUE
Matrix	COL3A1	TRUE
Matrix	COL4A1	TRUE
Matrix	COL5A1	TRUE
Matrix	ELN	TRUE
Matrix	FN1	TRUE
Matrix	LAMA3	TRUE
Matrix	LAMB3	TRUE
Matrix	LAMC2	TRUE
Matrix	LGALS7	TRUE
Matrix	LGALS9	FALSE
Matrix	TNC	TRUE
Matrix	VTN	TRUE
Matrix_remodeling	ADAMTS4	TRUE
Matrix_remodeling	ADAMTS5	TRUE
Matrix_remodeling	CA9	TRUE
Matrix_remodeling	LOX	TRUE
Matrix_remodeling	MMP1	TRUE
Matrix_remodeling	MMP11	TRUE
Matrix_remodeling	MMP12	TRUE
Matrix_remodeling	MMP2	TRUE
Matrix_remodeling	MMP3	TRUE
Matrix_remodeling	MMP7	TRUE
Matrix_remodeling	MMP9	TRUE
Matrix_remodeling	PLOD2	TRUE
myCAF_contractile	ACTA2	TRUE
myCAF_contractile	TAGLN	TRUE
myCAF_contractile	ACTG2	TRUE
myCAF_contractile	MYL9	TRUE
myCAF_contractile	CNN1	TRUE
myCAF_contractile	DES	TRUE
myCAF_contractile	PDLIM3	TRUE
myCAF_contractile	THBS1	TRUE
myCAF_contractile	CCN2	TRUE
myCAF_contractile	COL12A1	TRUE
myCAF_contractile	POSTN	TRUE
tumor_stress_secretory	LCN2	TRUE
tumor_stress_secretory	SLPI	TRUE
tumor_stress_secretory	S100A10	TRUE
tumor_stress_secretory	S100P	TRUE
tumor_stress_secretory	MMP7	TRUE
tumor_stress_secretory	SPINK1	TRUE
tumor_stress_secretory	CEACAM5	TRUE
tumor_stress_secretory	MSLN	TRUE
tumor_stress_secretory	KRT20	TRUE
tumor_stress_secretory	KRT23	TRUE
NK_cells	NKG7	TRUE
NK_cells	GNLY	TRUE
NK_cells	PRF1	TRUE
NK_cells	KLRD1	TRUE
NK_cells	CTSW	TRUE
NK_cells	XCL1	TRUE
NK_cells	XCL2	FALSE
NK_cells	FCGR3A	TRUE
NK_cells	TYROBP	TRUE
NK_cells	TRAC	TRUE
